CHARGE_ID,CONNECTED_ACCOUNT_NAME,CARD_BRAND,CARD_FUNDING,FEE_CATEGORY,FEE_NAME,PLAN_NAME,TOTAL_AMOUNT,INCURRED_AT
ch_3TLimJ6CHbtYBHTl0kPXVlDM,,Visa,debit,stripe_fee,volume_fee,,-0.6,2026-04-13 11:36:17
ch_3TLimJ6CHbtYBHTl0kPXVlDM,,Visa,debit,network_cost,card_scheme,INTERNATIONAL ACQUIRING FEE,0.9,2026-04-13 11:36:17
ch_3TLimJ6CHbtYBHTl0kPXVlDM,,Visa,debit,network_cost,card_scheme,Visa Data and Reporting Fee,0.00440001,2026-04-13 11:36:17
ch_3TLimJ6CHbtYBHTl0kPXVlDM,,Visa,debit,network_cost,card_scheme,Clearing and Settlement Interchange Report Fee,0.1105,2026-04-13 11:36:17
ch_3TLimJ6CHbtYBHTl0kPXVlDM,,Visa,debit,network_cost,card_scheme,Settlement Report Transmission Charge,0.136,2026-04-13 11:36:17
ch_3TLimJ6CHbtYBHTl0kPXVlDM,,Visa,debit,stripe_fee,per_auth_fee,,10.0,2026-04-13 11:36:18
ch_3TLimJ6CHbtYBHTl0kPXVlDM,,Visa,debit,network_cost,card_scheme,Innovation And Market Development Debit NL,0.01,2026-04-13 11:36:17
ch_3TLimJ6CHbtYBHTl0kPXVlDM,,Visa,debit,network_cost,card_scheme,Visa Card Present Token Facilitation Fee,0.1,2026-04-13 11:36:18
ch_3TLimJ6CHbtYBHTl0kPXVlDM,,Visa,debit,stripe_fee,per_auth_fee,,-5.7,2026-04-13 11:36:18
ch_3TLimJ6CHbtYBHTl0kPXVlDM,,Visa,debit,network_cost,card_scheme,PURCHASE ORIGINAL - INTERNATIONAL,6.5,2026-04-13 11:36:17
ch_3TLimJ6CHbtYBHTl0kPXVlDM,,Visa,debit,network_cost,card_scheme,Acquirer Card Service Fee - Card Present,0.03,2026-04-13 11:36:17
ch_3TLimJ6CHbtYBHTl0kPXVlDM,,Visa,debit,network_cost,card_scheme,Visa Network Defense Fee - Purchase Authorization,0.05,2026-04-13 11:36:18
ch_3TLimJ6CHbtYBHTl0kPXVlDM,,Visa,debit,network_cost,card_scheme,Visa Card Present Token Facilitation Fee,-0.1,2026-04-13 11:36:18
ch_3TLimJ6CHbtYBHTl0kPXVlDM,,Visa,debit,stripe_fee,volume_fee,,0.8,2026-04-13 11:36:17
ch_3TLimJ6CHbtYBHTl0kPXVlDM,,Visa,debit,network_cost,card_scheme,ACQUIRER AUTHORISATION INTER VISA POS,4.25,2026-04-13 11:36:18
ch_3TLimJ6CHbtYBHTl0kPXVlDM,,Visa,debit,network_cost,interchange,EEAINT CN DBPP,0.4,2026-04-13 11:36:17
ch_3TLixL6CHbtYBHTl0UF8r9RY,,MasterCard,debit,network_cost,card_scheme,MC Local Marketing Funds And Development Fee Assessments,0.05,2026-04-13 11:47:18
ch_3TLixL6CHbtYBHTl0UF8r9RY,,MasterCard,debit,network_cost,card_scheme,MC Data and Reporting Fee,0.0166,2026-04-13 11:47:18
ch_3TLixL6CHbtYBHTl0UF8r9RY,,MasterCard,debit,network_cost,card_scheme,Volume Fee - POS Mastercard Debit/Prepaid,0.0266,2026-04-13 11:47:18
ch_3TLixL6CHbtYBHTl0UF8r9RY,,MasterCard,debit,network_cost,card_scheme,MC Authorization Switch Fee,0.01,2026-04-13 11:47:19
ch_3TLixL6CHbtYBHTl0UF8r9RY,,MasterCard,debit,network_cost,card_scheme,Token Validation Domestic CP Debit,0.002,2026-04-13 11:47:19
ch_3TLixL6CHbtYBHTl0UF8r9RY,,MasterCard,debit,network_cost,card_scheme,Acquirer Authorization Connectivity Fee,0.27,2026-04-13 11:47:19
ch_3TLixL6CHbtYBHTl0UF8r9RY,,MasterCard,debit,stripe_fee,per_auth_fee,,10.0,2026-04-13 11:47:19
ch_3TLixL6CHbtYBHTl0UF8r9RY,,MasterCard,debit,network_cost,card_scheme,MC Transaction Fee POS,0.12,2026-04-13 11:47:18
ch_3TLixL6CHbtYBHTl0UF8r9RY,,MasterCard,debit,network_cost,card_scheme,Clearing Connectivity Fee,0.11,2026-04-13 11:47:18
ch_3TLixL6CHbtYBHTl0UF8r9RY,,MasterCard,debit,network_cost,card_scheme,MC Clearing Switch Fee,0.01,2026-04-13 11:47:18
ch_3TLixL6CHbtYBHTl0UF8r9RY,,MasterCard,debit,stripe_fee,volume_fee,,-0.6,2026-04-13 11:47:18
ch_3TLixL6CHbtYBHTl0UF8r9RY,,MasterCard,debit,stripe_fee,per_auth_fee,,-5.7,2026-04-13 11:47:19
ch_3TLixL6CHbtYBHTl0UF8r9RY,,MasterCard,debit,stripe_fee,volume_fee,,0.8,2026-04-13 11:47:18
ch_3TLixL6CHbtYBHTl0UF8r9RY,,MasterCard,debit,network_cost,interchange,NL DOMESTIC MAESTRO CONTACTLESS,-20.0,2026-04-13 11:47:18
ch_3TLixL6CHbtYBHTl0UF8r9RY,,MasterCard,debit,network_cost,interchange,NL DOMESTIC MAESTRO CONTACTLESS,20.0,2026-04-13 11:47:18
ch_3TMlWf6CHbtYBHTl1zGSauqb,,Visa,debit,network_cost,card_scheme,Visa Card Present Token Facilitation Fee,-0.1,2026-04-16 08:44:11
ch_3TMlWf6CHbtYBHTl1zGSauqb,,Visa,debit,network_cost,card_scheme,Visa Card Present Token Facilitation Fee,0.1,2026-04-16 08:44:11
ch_3TMlWf6CHbtYBHTl1zGSauqb,,Visa,debit,stripe_fee,per_auth_fee,,4.3,2026-04-16 08:44:11
ch_3TMlWf6CHbtYBHTl1zGSauqb,,Visa,debit,network_cost,card_scheme,Visa Network Defense Fee - Purchase Authorization,0.05,2026-04-16 08:44:11
ch_3TMlWf6CHbtYBHTl1zGSauqb,,Visa,debit,network_cost,card_scheme,ACQUIRER AUTHORISATION INTER VISA POS,4.25,2026-04-16 08:44:11
ch_3TMlWf6CHbtYBHTl1zGSauqb,,Visa,debit,stripe_fee,per_auth_fee,,4.3,2026-04-16 08:46:47
ch_3TMnRA6CHbtYBHTl1qFlfXTw,,MasterCard,debit,stripe_fee,volume_fee,,0.2,2026-04-16 10:46:31
ch_3TMnRA6CHbtYBHTl1qFlfXTw,,MasterCard,debit,network_cost,interchange,NL DOMESTIC MAESTRO CONTACTLESS,-20.0,2026-04-16 10:46:31
ch_3TMnRA6CHbtYBHTl1qFlfXTw,,MasterCard,debit,network_cost,interchange,NL DOMESTIC MAESTRO CONTACTLESS,20.0,2026-04-16 10:46:31
ch_3TMnRA6CHbtYBHTl1qFlfXTw,,MasterCard,debit,network_cost,card_scheme,MC Transaction Fee POS,0.12,2026-04-16 10:46:31
ch_3TMnRA6CHbtYBHTl1qFlfXTw,,MasterCard,debit,network_cost,card_scheme,Volume Fee - POS Mastercard Debit/Prepaid,0.0266,2026-04-16 10:46:31
ch_3TMnRA6CHbtYBHTl1qFlfXTw,,MasterCard,debit,network_cost,card_scheme,Clearing Connectivity Fee,0.11,2026-04-16 10:46:31
ch_3TMnRA6CHbtYBHTl1qFlfXTw,,MasterCard,debit,network_cost,card_scheme,Acquirer Authorization Connectivity Fee,0.27,2026-04-16 10:46:31
ch_3TMnRA6CHbtYBHTl1qFlfXTw,,MasterCard,debit,network_cost,card_scheme,MC Local Marketing Funds And Development Fee Assessments,0.05,2026-04-16 10:46:31
ch_3TMnRA6CHbtYBHTl1qFlfXTw,,MasterCard,debit,network_cost,card_scheme,MC Data and Reporting Fee,0.0166,2026-04-16 10:46:31
ch_3TMnRA6CHbtYBHTl1qFlfXTw,,MasterCard,debit,stripe_fee,per_auth_fee,,4.3,2026-04-16 10:46:31
ch_3TMnRA6CHbtYBHTl1qFlfXTw,,MasterCard,debit,network_cost,card_scheme,Token Validation Domestic CP Debit,0.002,2026-04-16 10:46:31
ch_3TMnRA6CHbtYBHTl1qFlfXTw,,MasterCard,debit,network_cost,card_scheme,MC Authorization Switch Fee,0.01,2026-04-16 10:46:31
ch_3TMnRA6CHbtYBHTl1qFlfXTw,,MasterCard,debit,network_cost,card_scheme,MC Clearing Switch Fee,0.01,2026-04-16 10:46:31
ch_3TOMLB9uALOIzRNR0KSDH81a,,Visa,credit,stripe_fee,per_auth_fee,,5.0,2026-04-20 18:14:44
ch_3TOMLB9uALOIzRNR0KSDH81a,,Visa,credit,stripe_fee,per_auth_fee,,5.0,2026-04-20 18:19:44
ch_3TOMLB9uALOIzRNR0KSDH81a,,Visa,credit,network_cost,card_scheme,Network Acquirer Processing Fee - Variable Credit (Domestic),1.95,2026-04-20 18:19:44
ch_3TOMLB9uALOIzRNR0KSDH81a,,Visa,credit,network_cost,card_scheme,Network Acquirer Processing Fee - Variable Credit (Domestic),1.95,2026-04-20 18:14:44
ch_3TOyZL9uALOIzRNR0rbA9Ron,,Visa,debit,network_cost,card_scheme,Visa Data and Reporting Fee,0.016393,2026-04-22 11:03:58
ch_3TOyZL9uALOIzRNR0rbA9Ron,,Visa,debit,stripe_fee,per_auth_fee,,5.0,2026-04-22 11:03:58
ch_3TOyZL9uALOIzRNR0rbA9Ron,,Visa,debit,network_cost,card_scheme,Assessment Fee (Debit),1.6393,2026-04-22 11:03:58
ch_3TOyZL9uALOIzRNR0rbA9Ron,,Visa,debit,network_cost,card_scheme,Settlement Report Transmission Charge,0.18,2026-04-22 11:03:58
ch_3TOyZL9uALOIzRNR0rbA9Ron,,Visa,debit,network_cost,card_scheme,BASE II System Transmission Fee,0.25,2026-04-22 11:03:58
ch_3TOyZL9uALOIzRNR0rbA9Ron,,Visa,debit,network_cost,card_scheme,Clearing and Settlement Interchange Report Fee,0.15,2026-04-22 11:03:58
ch_3TOyZL9uALOIzRNR0rbA9Ron,,Visa,debit,network_cost,card_scheme,Network Acquirer Processing Fee - Variable Debit (Domestic),1.55,2026-04-22 11:03:58
ch_3TOyZL9uALOIzRNR0rbA9Ron,,Visa,debit,network_cost,interchange,CPS/Small Ticket Regulated,22.6305,2026-04-22 11:03:58
ch_3TOyZL9uALOIzRNR0rbA9Ron,,Visa,debit,stripe_fee,volume_fee,,1.26100001,2026-04-22 11:03:58
ch_3TOzGX9uALOIzRNR0IgfWkaX,,Visa,debit,network_cost,card_scheme,Visa Data and Reporting Fee,0.008437,2026-04-22 11:48:32
ch_3TOzGX9uALOIzRNR0IgfWkaX,,Visa,debit,network_cost,card_scheme,Settlement Report Transmission Charge,0.18,2026-04-22 11:48:32
ch_3TOzGX9uALOIzRNR0IgfWkaX,,Visa,debit,network_cost,card_scheme,Clearing and Settlement Interchange Report Fee,0.15,2026-04-22 11:48:32
